sample-id	age	ethnicity	isolate	sex	tissue
SRR3216589_1	26	AfricanAmerican	Scalp	male	Skin
SRR3216590_1	26	AfricanAmerican	Scalp	male	Skin
SRR3216591_1	26	AfricanAmerican	Axilla	male	Skin
SRR3216592_1	26	AfricanAmerican	Axilla	male	Skin
SRR3216593_1	26	AfricanAmerican	Arm	male	Skin
SRR3216594_1	26	AfricanAmerican	Arm	male	Skin
SRR3216595_1	26	AfricanAmerican	Scalp	male	Skin
SRR3216596_1	26	AfricanAmerican	Scalp	male	Skin
SRR3216597_1	26	AfricanAmerican	Axilla	male	Skin
SRR3216598_1	26	AfricanAmerican	Axilla	male	Skin
SRR3216599_1	26	AfricanAmerican	Arm	male	Skin
SRR3216600_1	26	AfricanAmerican	Arm	male	Skin
SRR3216601_1	27	AfricanAmerican	Scalp	male	Skin
SRR3216602_1	27	AfricanAmerican	Scalp	male	Skin
SRR3216603_1	27	AfricanAmerican	Axilla	male	Skin
SRR3216604_1	27	AfricanAmerican	Axilla	male	Skin
SRR3216605_1	27	AfricanAmerican	Arm	male	Skin
SRR3216606_1	27	AfricanAmerican	Arm	male	Skin
SRR3216607_1	22	AfricanAmerican	Scalp	male	Skin
SRR3216608_1	22	AfricanAmerican	Scalp	male	Skin
SRR3216609_1	22	AfricanAmerican	Axilla	male	Skin
SRR3216610_1	22	AfricanAmerican	Axilla	male	Skin
SRR3216611_1	22	AfricanAmerican	Arm	male	Skin
SRR3216612_1	22	AfricanAmerican	Arm	male	Skin
SRR3216613_1	30	AfricanAmerican	Scalp	male	Skin
SRR3216614_1	30	AfricanAmerican	Scalp	male	Skin
SRR3216615_1	30	AfricanAmerican	Axilla	male	Skin
SRR3216616_1	30	AfricanAmerican	Axilla	male	Skin
SRR3216617_1	30	AfricanAmerican	Arm	male	Skin
SRR3216618_1	30	AfricanAmerican	Arm	male	Skin
SRR3216619_1	26	AfricanAmerican	Scalp	male	Skin
SRR3216620_1	26	AfricanAmerican	Scalp	male	Skin
SRR3216621_1	26	AfricanAmerican	Axilla	male	Skin
SRR3216622_1	26	AfricanAmerican	Axilla	male	Skin
SRR3216623_1	26	AfricanAmerican	Arm	male	Skin
SRR3216624_1	26	AfricanAmerican	Arm	male	Skin
SRR3216625_1	26	AfricanAmerican	Scalp	male	Skin
SRR3216626_1	26	AfricanAmerican	Scalp	male	Skin
SRR3216627_1	26	AfricanAmerican	Axilla	male	Skin
SRR3216628_1	26	AfricanAmerican	Axilla	male	Skin
SRR3216629_1	26	AfricanAmerican	Arm	male	Skin
SRR3216630_1	26	AfricanAmerican	Arm	male	Skin
SRR3216631_1	27	AfricanAmerican	Scalp	male	Skin
SRR3216632_1	27	AfricanAmerican	Scalp	male	Skin
SRR3216633_1	27	AfricanAmerican	Axilla	male	Skin
SRR3216634_1	27	AfricanAmerican	Axilla	male	Skin
