.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR3216589_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216590_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216591_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216592_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216593_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216594_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216595_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216596_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216597_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216598_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216599_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216600_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216601_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216602_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216603_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216604_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216605_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216606_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216607_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216610_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216612_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216613_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216614_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216615_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216616_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216617_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216618_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216619_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216620_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216621_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216622_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216623_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216624_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216625_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216626_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216627_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216628_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216629_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216630_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216631_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216632_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216633_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216634_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216635_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216636_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216637_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216638_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216639_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216640_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216641_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216642_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216643_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216644_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216645_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216646_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216647_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216648_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216649_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216650_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216651_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216652_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216653_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216654_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216655_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216656_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216657_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216658_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216659_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216660_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216661_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216662_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216663_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216664_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216665_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216666_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216667_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216668_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216669_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216670_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216671_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216672_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216673_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216674_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216675_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216676_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216677_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216678_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216679_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216680_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216681_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216682_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216683_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216684_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216685_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216686_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216687_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216688_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216689_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216690_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216691_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216692_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216693_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216694_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216695_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216696_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216697_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216698_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216699_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216700_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216701_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216702_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216703_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216704_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216705_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216706_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216707_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216708_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216709_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216710_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216711_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216712_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216713_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216714_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216715_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216716_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216717_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216718_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216719_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216720_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216721_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216722_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216723_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216724_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216725_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216726_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216727_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216728_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216729_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216730_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216731_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216732_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216733_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216734_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216735_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216736_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216737_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216738_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216739_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216740_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216741_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216742_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216743_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216744_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216745_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216746_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216747_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216748_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216749_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216750_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216751_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216752_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216753_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216754_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216755_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216756_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216757_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216758_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216759_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216760_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216761_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216762_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216763_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216764_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216765_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216766_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216767_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216768_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216769_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216770_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216771_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216772_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216773_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216774_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216775_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216776_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216777_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216778_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216779_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216780_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216781_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216782_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216783_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216784_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216785_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216786_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216787_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216788_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216789_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216790_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216791_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216792_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216793_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216794_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216795_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216796_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216797_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216798_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216799_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216800_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216801_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216802_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216803_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
