Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
SRR3216593_1 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.049301561216105176)	(140, 0.13694878115584772)	(145, 0.13694878115584772)	(150, 0.13694878115584772)	(155, 0.13694878115584772)	(160, 0.13694878115584772)	(165, 0.13694878115584772)	(170, 0.13694878115584772)	(175, 0.13694878115584772)	(180, 0.13694878115584772)	(185, 0.13694878115584772)	(190, 0.13694878115584772)	(195, 0.13694878115584772)	(200, 0.13694878115584772)	(205, 0.13694878115584772)	(210, 0.13694878115584772)	(215, 0.13694878115584772)	(220, 0.13694878115584772)	(225, 0.13694878115584772)	(230, 0.13694878115584772)	(235, 0.13694878115584772)	(240, 0.13694878115584772)	(245, 0.13694878115584772)								
SRR3216594_1 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.07771733096480515)	(140, 0.38858665482402577)	(145, 0.38858665482402577)	(150, 0.38858665482402577)	(155, 0.38858665482402577)	(160, 0.38858665482402577)	(165, 0.38858665482402577)	(170, 0.38858665482402577)	(175, 0.38858665482402577)	(180, 0.38858665482402577)	(185, 0.38858665482402577)	(190, 0.38858665482402577)	(195, 0.38858665482402577)	(200, 0.38858665482402577)	(205, 0.38858665482402577)	(210, 0.38858665482402577)	(215, 0.38858665482402577)	(220, 0.38858665482402577)	(225, 0.38858665482402577)	(230, 0.38858665482402577)	(235, 0.38858665482402577)	(240, 0.38858665482402577)									
SRR3216597_1 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.07746237191743885)	(140, 0.3873118595871942)	(145, 0.3873118595871942)	(150, 0.3873118595871942)	(155, 0.3873118595871942)	(160, 0.3873118595871942)	(165, 0.3873118595871942)	(170, 0.3873118595871942)	(175, 0.3873118595871942)	(180, 0.3873118595871942)	(185, 0.3873118595871942)	(190, 0.3873118595871942)	(195, 0.3873118595871942)	(200, 0.3873118595871942)	(205, 0.3873118595871942)	(210, 0.3873118595871942)	(215, 0.3873118595871942)	(220, 0.3873118595871942)	(225, 0.3873118595871942)	(230, 0.3873118595871942)	(235, 0.3873118595871942)	(240, 0.3873118595871942)	(245, 0.3873118595871942)	(250, 0.3873118595871942)	(255, 0.3873118595871942)	(260, 0.3873118595871942)	(265, 0.3873118595871942)	(270, 0.3873118595871942)	(275, 0.3873118595871942)		
SRR3216599_1 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.021297634441317412)	(140, 0.10648817220658706)	(145, 0.10648817220658706)	(150, 0.10648817220658706)	(155, 0.10648817220658706)	(160, 0.10648817220658706)	(165, 0.10648817220658706)	(170, 0.10648817220658706)	(175, 0.10648817220658706)	(180, 0.10648817220658706)	(185, 0.10648817220658706)	(190, 0.10648817220658706)	(195, 0.10648817220658706)	(200, 0.10648817220658706)	(205, 0.10648817220658706)	(210, 0.10648817220658706)	(215, 0.10648817220658706)	(220, 0.10648817220658706)	(225, 0.10648817220658706)	(230, 0.10648817220658706)	(235, 0.10648817220658706)	(240, 0.10648817220658706)	(245, 0.10648817220658706)	(250, 0.10648817220658706)	(255, 0.10648817220658706)	(260, 0.10648817220658706)	(265, 0.10648817220658706)	(270, 0.10648817220658706)	(275, 0.10648817220658706)	(280, 0.10648817220658706)	(285, 0.10648817220658706)
SRR3216629_1 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.04782519068233354)	(140, 0.2391259534116677)	(145, 0.2391259534116677)	(150, 0.2391259534116677)	(155, 0.2391259534116677)	(160, 0.2391259534116677)	(165, 0.2391259534116677)	(170, 0.2391259534116677)	(175, 0.2391259534116677)	(180, 0.2391259534116677)	(185, 0.2391259534116677)	(190, 0.2391259534116677)	(195, 0.2391259534116677)	(200, 0.2391259534116677)	(205, 0.2391259534116677)	(210, 0.2391259534116677)	(215, 0.2391259534116677)	(220, 0.2391259534116677)	(225, 0.2391259534116677)	(230, 0.2391259534116677)	(235, 0.2391259534116677)	(240, 0.2391259534116677)	(245, 0.2391259534116677)	(250, 0.2391259534116677)	(255, 0.2391259534116677)	(260, 0.2391259534116677)	(265, 0.2391259534116677)	(270, 0.2391259534116677)	(275, 0.2391259534116677)	(280, 0.2391259534116677)	
SRR3216651_1 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.03063960168517809)	(140, 0.15319800842589046)	(145, 0.15319800842589046)	(150, 0.15319800842589046)	(155, 0.15319800842589046)	(160, 0.15319800842589046)	(165, 0.15319800842589046)	(170, 0.15319800842589046)	(175, 0.15319800842589046)	(180, 0.15319800842589046)	(185, 0.15319800842589046)	(190, 0.15319800842589046)	(195, 0.15319800842589046)	(200, 0.15319800842589046)	(205, 0.15319800842589046)	(210, 0.15319800842589046)	(215, 0.15319800842589046)	(220, 0.15319800842589046)	(225, 0.15319800842589046)	(230, 0.15319800842589046)	(235, 0.15319800842589046)	(240, 0.15319800842589046)	(245, 0.15319800842589046)	(250, 0.15319800842589046)	(255, 0.15319800842589046)	(260, 0.15319800842589046)	(265, 0.15319800842589046)	(270, 0.15319800842589046)			
SRR3216652_1 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.03798033958891868)	(140, 0.18990169794459338)	(145, 0.18990169794459338)	(150, 0.18990169794459338)	(155, 0.18990169794459338)	(160, 0.18990169794459338)	(165, 0.18990169794459338)	(170, 0.18990169794459338)	(175, 0.18990169794459338)	(180, 0.18990169794459338)	(185, 0.18990169794459338)	(190, 0.18990169794459338)	(195, 0.18990169794459338)	(200, 0.18990169794459338)	(205, 0.18990169794459338)	(210, 0.18990169794459338)	(215, 0.18990169794459338)	(220, 0.18990169794459338)	(225, 0.18990169794459338)	(230, 0.18990169794459338)	(235, 0.18990169794459338)	(240, 0.18990169794459338)									
SRR3216654_1 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.06176602056158316)	(140, 0.3088301028079158)	(145, 0.3088301028079158)	(150, 0.3088301028079158)	(155, 0.3088301028079158)	(160, 0.3088301028079158)	(165, 0.3088301028079158)	(170, 0.3088301028079158)	(175, 0.3088301028079158)	(180, 0.3088301028079158)	(185, 0.3088301028079158)	(190, 0.3088301028079158)	(195, 0.3088301028079158)	(200, 0.3088301028079158)	(205, 0.3088301028079158)	(210, 0.3088301028079158)	(215, 0.3088301028079158)	(220, 0.3088301028079158)	(225, 0.3088301028079158)	(230, 0.3088301028079158)	(235, 0.3088301028079158)	(240, 0.3088301028079158)	(245, 0.3088301028079158)	(250, 0.3088301028079158)	(255, 0.3088301028079158)	(260, 0.3088301028079158)	(265, 0.3088301028079158)				
SRR3216665_1 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0725140785312042)	(140, 0.362570392656021)	(145, 0.362570392656021)	(150, 0.362570392656021)	(155, 0.362570392656021)	(160, 0.362570392656021)	(165, 0.362570392656021)	(170, 0.362570392656021)	(175, 0.362570392656021)	(180, 0.362570392656021)	(185, 0.362570392656021)	(190, 0.362570392656021)	(195, 0.362570392656021)	(200, 0.362570392656021)	(205, 0.362570392656021)	(210, 0.362570392656021)	(215, 0.362570392656021)	(220, 0.362570392656021)	(225, 0.362570392656021)	(230, 0.362570392656021)	(235, 0.362570392656021)	(240, 0.362570392656021)	(245, 0.362570392656021)								
SRR3216666_1 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0478689128233453)	(140, 0.2393445641167265)	(145, 0.2393445641167265)	(150, 0.2393445641167265)	(155, 0.2393445641167265)	(160, 0.2393445641167265)	(165, 0.2393445641167265)	(170, 0.2393445641167265)	(175, 0.2393445641167265)	(180, 0.2393445641167265)	(185, 0.2393445641167265)	(190, 0.2393445641167265)	(195, 0.2393445641167265)	(200, 0.2393445641167265)	(205, 0.2393445641167265)	(210, 0.2393445641167265)	(215, 0.2393445641167265)	(220, 0.2393445641167265)	(225, 0.2393445641167265)	(230, 0.2393445641167265)	(235, 0.2393445641167265)	(240, 0.2393445641167265)	(245, 0.2393445641167265)	(250, 0.2393445641167265)	(255, 0.2393445641167265)	(260, 0.2393445641167265)	(265, 0.2393445641167265)	(270, 0.2393445641167265)	(275, 0.2393445641167265)	(280, 0.2393445641167265)	(285, 0.2393445641167265)
