Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR3216589_1	82.76211247857923	11.917744196915407
SRR3216590_1	82.23776223776224	12.834857450242069
SRR3216591_1	87.30216152663472	7.0724427964185566
SRR3216592_1	84.74585886090311	9.660766961651916
SRR3216593_1	24.961197845339175	60.065735414954815
SRR3216594_1	37.304318863106474	50.48295769956701
SRR3216595_1	72.2780397785524	22.001230264506873
SRR3216596_1	70.5385015608741	22.94484911550468
SRR3216597_1	55.80722655292445	33.62749423934892
SRR3216598_1	83.30196873190503	10.140416907932831
SRR3216599_1	61.30676199893512	28.64531832357192
SRR3216600_1	65.08008461770928	25.88395285584768
SRR3216601_1	60.16374929418408	31.41163184641446
SRR3216602_1	64.43992887985776	27.190754381508768
SRR3216603_1	61.226359531444274	30.469210130227083
SRR3216604_1	50.02434274586174	41.212268743914315
SRR3216605_1	44.29863676901516	45.89119633074277
SRR3216606_1	60.179355084907456	31.062774279717615
SRR3216607_1	78.02232353403554	16.491117748781633
SRR3216610_1	87.74801587301587	7.390873015873012
SRR3216612_1	13.067360508817577	69.31193986701359
SRR3216613_1	73.30908803415424	18.120725777760214
SRR3216614_1	64.84487010380225	27.160635430406614
SRR3216615_1	38.62921669525443	53.10891938250428
SRR3216616_1	50.972886762360446	40.92503987240829
SRR3216617_1	28.468942971304035	56.24772974936434
SRR3216618_1	34.592987238260434	53.314335274439344
SRR3216619_1	37.068409907006725	53.577018690728295
SRR3216620_1	37.105413105413106	53.18518518518519
SRR3216621_1	32.052900510970844	57.661556958220615
SRR3216622_1	78.53868462905791	15.894845167929645
SRR3216623_1	25.881821773237768	61.747276934364244
SRR3216624_1	18.93708002443494	68.29566279780084
SRR3216625_1	56.20393388285577	36.599938941951244
SRR3216626_1	52.5654094461434	39.566040483471674
SRR3216627_1	54.95621849058034	35.059322997611915
SRR3216628_1	46.41756073498582	42.85361943519546
SRR3216629_1	20.28860028860029	63.95794681508967
SRR3216630_1	22.938720015538504	65.30057298242205
SRR3216631_1	88.33922261484098	7.306173352733325
SRR3216632_1	74.16660099298605	18.252029316731026
SRR3216633_1	63.99748957064274	27.138479713515707
SRR3216634_1	83.83435953157068	9.610044669805632
SRR3216635_1	35.987282241504936	53.613300655759424
SRR3216636_1	27.246341758374655	59.58398839037369
SRR3216637_1	69.23346986541837	22.726740784084257
SRR3216638_1	71.46254458977408	21.693750825736558
SRR3216639_1	31.434840679259686	58.734020225147866
SRR3216640_1	41.888596234513706	47.20515071700323
SRR3216641_1	23.795048198072077	60.29358825646973
SRR3216642_1	26.436689930209372	57.1246261216351
SRR3216643_1	46.00470848912893	45.89392050962471
SRR3216644_1	46.07892914839603	44.94345718901454
SRR3216645_1	71.05597685530181	21.987463288475865
SRR3216646_1	45.388715679372424	45.02665191592075
SRR3216647_1	27.342867896123447	57.94128716597666
SRR3216648_1	27.221090325368895	59.010927949620296
SRR3216649_1	60.27288592733618	31.95303823576075
SRR3216650_1	45.1848435938821	45.99185304742141
SRR3216651_1	26.937316481552408	61.20260436614324
SRR3216652_1	56.155049151027704	34.89722966934763
SRR3216653_1	23.487247874645774	65.52758793132189
SRR3216654_1	26.608151489292535	59.36852371083749
SRR3216655_1	54.15686538073795	37.18663888702198
SRR3216656_1	43.56419290905087	41.62629376789254
SRR3216657_1	77.22998202185036	16.498409625224724
SRR3216658_1	79.08986175115207	13.76728110599079
SRR3216659_1	35.53214674900109	50.221576462041405
SRR3216660_1	17.974474119593474	66.35547151973529
SRR3216661_1	54.705464868701206	36.110716820440025
SRR3216662_1	51.718032424057995	37.558789354285395
SRR3216663_1	57.56336328282151	35.2286442269009
SRR3216664_1	75.88261253309797	18.314210061782873
SRR3216665_1	22.67222093651161	62.87124893928875
SRR3216666_1	29.35653134493234	53.64079904262175
SRR3216667_1	59.16536980915718	31.722499795233027
SRR3216668_1	70.51858348865257	22.026093630084418
SRR3216669_1	85.96761757902853	8.6674376766898
SRR3216670_1	43.256608523646825	46.35856860276929
SRR3216671_1	32.3292220113852	53.64682163187855
SRR3216672_1	30.3247244434839	52.728549816295654
SRR3216673_1	43.410744264129825	45.23876142510726
SRR3216674_1	71.1777301927195	20.07137758743754
SRR3216675_1	74.48967823780418	18.08326605927806
SRR3216676_1	58.07625649913345	32.01039861351819
SRR3216677_1	39.22778814410794	47.595808812975456
SRR3216678_1	30.078627591136524	58.39885632594711
SRR3216679_1	40.537013801756586	50.21329987452948
SRR3216680_1	41.589595375722546	49.84104046242775
SRR3216681_1	36.40180473743577	52.569244266198766
SRR3216682_1	18.30010138560324	68.24940858398108
SRR3216683_1	23.34146624840246	63.44835598931103
SRR3216684_1	14.79623272599243	71.77185106944812
SRR3216685_1	83.86072226796848	10.928126102811433
SRR3216686_1	51.02557388496116	39.23365628000349
SRR3216687_1	89.63097713097713	5.344767844767844
SRR3216688_1	73.42379225640427	17.42893905719967
SRR3216689_1	50.12761205933961	35.80315839846865
SRR3216690_1	46.439393939393945	41.717171717171716
SRR3216691_1	57.18638460868808	32.19291372856272
SRR3216692_1	63.74749710190747	26.74675940562757
SRR3216693_1	45.98947846983179	42.05364681431447
SRR3216694_1	80.72422517394054	11.859582542694497
SRR3216695_1	57.43065077523468	31.336356924375067
SRR3216696_1	33.33625065639769	53.50516366182391
SRR3216697_1	36.954529836215784	49.9770931164815
SRR3216698_1	57.27004999657558	33.840147935072935
SRR3216699_1	40.61074757089035	52.002776125322235
SRR3216700_1	46.94602643816291	43.82674120904958
SRR3216701_1	18.469431380932022	67.73549950121135
SRR3216702_1	19.847386493704693	65.82983594048073
SRR3216703_1	66.9326011500803	24.918406465316266
SRR3216704_1	77.90691614113723	15.281179965601709
SRR3216705_1	62.62061717779689	29.268176172733348
SRR3216706_1	51.21518442843317	40.117216905043556
SRR3216707_1	19.27080524243568	65.08278949355483
SRR3216708_1	11.3180447168095	72.32249724709149
SRR3216709_1	41.186545180516546	45.557306295814215
SRR3216710_1	33.9492728166936	51.78107215625659
SRR3216711_1	75.44416243654823	18.984771573604064
SRR3216712_1	73.01377324721811	20.48089642829352
SRR3216713_1	25.86285540519994	58.06598753230956
SRR3216714_1	40.51695931944596	46.58087032391755
SRR3216715_1	69.69833698594817	22.959907180611054
SRR3216716_1	76.17146918913008	16.747771884739464
SRR3216717_1	67.20204266534881	25.50037064492217
SRR3216718_1	32.06384951649225	58.650152338058014
SRR3216719_1	23.72785879702072	60.63716592601865
SRR3216720_1	11.537348002316156	73.29907353792704
SRR3216721_1	46.09746883264073	40.173781639591994
SRR3216722_1	60.90443686006826	29.50511945392492
SRR3216723_1	79.42995428878731	15.272922828717398
SRR3216724_1	76.05557560447492	18.477084085167803
SRR3216725_1	13.570938999314599	73.90907013936487
SRR3216726_1	8.85385800640038	77.05345501955671
SRR3216727_1	44.29131369326084	45.201668984700966
SRR3216728_1	53.061789969520646	37.0462732058742
SRR3216729_1	42.87557801914184	48.82245402731476
SRR3216730_1	47.26117440841367	44.06222611744084
SRR3216731_1	14.890123768628442	70.92700176812326
SRR3216732_1	12.958240357029007	71.85208798214855
SRR3216733_1	65.2742256322819	24.268258027848816
SRR3216734_1	54.0481108815886	31.758512694076103
SRR3216735_1	70.75149444918873	23.023057216054653
SRR3216736_1	77.75952402095729	15.540360536364446
SRR3216737_1	22.345700876649254	60.741167094660405
SRR3216738_1	22.6281236764083	62.44176196526896
SRR3216739_1	33.096856833185534	53.492954970933106
SRR3216740_1	36.28349178910977	50.22471910112359
SRR3216741_1	51.41102691403188	37.15050953749673
SRR3216742_1	51.33515792588209	37.41400991197573
SRR3216743_1	20.025591810620604	63.47932298028267
SRR3216744_1	16.426731322927715	70.72283679345355
SRR3216745_1	25.130009177118385	61.99908228816152
SRR3216746_1	28.50552334193931	57.54010242519152
SRR3216747_1	32.31197771587744	55.885395941106246
SRR3216748_1	84.23074812009442	10.242054997530047
SRR3216749_1	16.668776104290597	76.48398936843437
SRR3216750_1	21.644023738290254	65.17239688067095
SRR3216751_1	38.45537859240146	50.97428596850253
SRR3216752_1	69.33507902366034	22.46329374357056
SRR3216753_1	90.79482314676785	4.463680715544115
SRR3216754_1	91.02221141374838	4.701686121919579
SRR3216755_1	80.69952881478797	12.821674519753529
SRR3216756_1	15.474642392717817	71.99284785435631
SRR3216757_1	19.336099585062243	68.54771784232365
SRR3216758_1	37.067022786077956	53.29271346298306
SRR3216759_1	60.14147485705909	31.483653423251717
SRR3216760_1	65.09896139525769	28.786988046247302
SRR3216761_1	16.374179764993134	71.92125743934076
SRR3216762_1	14.763812385244535	73.25988983475213
SRR3216763_1	64.39699413489735	25.52236070381231
SRR3216764_1	47.89297960656921	40.313120375383505
SRR3216765_1	88.59091511058138	5.721096543504174
SRR3216766_1	86.95547533092659	7.075812274368232
SRR3216767_1	24.75093399750934	61.62308011623081
SRR3216768_1	17.308327825512226	68.94415069398546
SRR3216769_1	34.601697235149196	55.543388995346284
SRR3216770_1	65.28476141611083	26.29040533606978
SRR3216771_1	77.92921288959323	16.77760169043846
SRR3216772_1	86.76942470776989	8.732523493009396
SRR3216773_1	26.738994366784897	59.557688295430836
SRR3216774_1	28.909612625538024	56.55406286683188
SRR3216775_1	65.10964148973198	25.11660285415941
SRR3216776_1	46.790757381258025	43.60290971330766
SRR3216777_1	81.37729200262797	12.703816520336858
SRR3216778_1	87.53830439223698	8.631256384065367
SRR3216779_1	26.904237080578007	60.67842272838599
SRR3216780_1	13.982094200077851	70.59556247567147
SRR3216781_1	47.77549815912987	39.951097495854526
SRR3216782_1	47.817509247842175	41.541307028360045
SRR3216783_1	64.17131123496627	25.420944558521555
SRR3216784_1	83.43887423043095	9.99120492524186
SRR3216785_1	22.645232005845816	63.74132261600293
SRR3216786_1	26.88473520249221	59.96884735202492
SRR3216787_1	87.2923345963276	6.260565432818424
SRR3216788_1	83.77947172487148	9.448679312178697
SRR3216789_1	84.79316697370625	9.579634902026456
SRR3216790_1	59.67728450798428	30.607808711646186
SRR3216791_1	24.0958866292445	62.064047115119166
SRR3216792_1	35.76519916142558	54.507337526205454
SRR3216793_1	74.00178375411636	17.017700329308454
SRR3216794_1	38.955067920585165	51.73458725182863
SRR3216795_1	68.96476964769647	23.344173441734412
SRR3216796_1	83.66279585143161	11.116035812427981
SRR3216797_1	11.076189444022976	75.59336729164409
SRR3216798_1	15.859623379799462	72.65835167522621
SRR3216799_1	78.22651448639158	14.326761912363324
SRR3216800_1	81.89632017190438	12.449637389202252
SRR3216801_1	53.123602812665126	36.54432386294354
SRR3216802_1	67.64603616133519	24.05540101993509
SRR3216803_1	19.8510773130545	67.31622306717364
SRR3216804_1	15.862745098039216	74.0
SRR3216805_1	42.35294117647059	46.357947434292875
SRR3216806_1	48.839792643791654	37.114292767217975
SRR3216807_1	35.30405405405405	51.520270270270274
SRR3216808_1	13.129937346771998	73.49496050122583
SRR3216809_1	22.851349243487757	63.65621587895804
SRR3216810_1	34.56296296296296	53.911111111111104
SRR3216811_1	73.81427304964538	17.48670212765957
SRR3216812_1	65.30025965416274	25.943318048726596
SRR3216813_1	77.3837005946135	16.796082546344877
SRR3216814_1	74.80654324615536	19.139974532275446
SRR3216815_1	27.39424004409536	58.605484359928354
SRR3216816_1	69.66598977662629	22.610461452279253
SRR3216817_1	66.41456223561082	24.176387642609924
SRR3216818_1	62.34239775073584	27.57105829635813
SRR3216819_1	37.802333668186385	52.994359013986546
SRR3216820_1	47.12776176753122	44.2267050912584
SRR3216821_1	29.807938540332906	56.414852752880925
SRR3216822_1	15.854181558255897	70.99356683345246
SRR3216823_1	78.20501138952164	15.699316628701595
SRR3216824_1	71.78054491272881	20.535334184759478
SRR3216825_1	42.0033468802295	47.764762132440836
SRR3216826_1	77.56849315068493	16.733257229832574
SRR3216827_1	32.11443728685108	57.635467980295566
SRR3216828_1	47.01241443322891	42.185868430212324
SRR3216829_1	40.05041631655335	47.742724008861046
SRR3216830_1	23.958188153310104	63.20557491289199
SRR3216831_1	76.55732988059272	17.12703208171486
SRR3216832_1	24.64542651593011	61.67523124357656
SRR3216833_1	16.88002718930554	70.60156338506854
SRR3216834_1	34.560412165531	52.68406182482965
SRR3216835_1	33.75796178343949	56.246937775600195
SRR3216836_1	61.58940397350994	30.44409816906896
SRR3216837_1	35.0402576489533	53.16156736446591
SRR3216838_1	43.07797745964057	47.22814498933902
SRR3216839_1	26.425363995101375	62.02204381548509
SRR3216840_1	39.54084747832458	47.92404444987177
SRR3216841_1	33.716176756861984	56.58944909480242
SRR3216842_1	42.54551161330822	48.10106716886378
SRR3216843_1	37.102473498233216	52.315920160443135
SRR3216844_1	74.02323125659979	19.493136219640974
SRR3216845_1	25.697924123120973	62.455261274158914
SRR3216846_1	43.77570605977516	43.51521798738689
SRR3216847_1	49.39522225582099	41.60870879951617
SRR3216848_1	61.354581673306775	31.664645764767023
SRR3216849_1	51.806391848077816	39.69893469198703
SRR3216850_1	64.75158935719332	28.278785024723334
SRR3216851_1	18.010951605742193	68.25514281485867
SRR3216852_1	15.7434554973822	70.78010471204189
SRR3216853_1	52.915900551602846	39.261731553281635
SRR3216854_1	65.29193424851233	27.266835562363752
SRR3216855_1	69.04194350053253	24.11117309935588
SRR3216856_1	69.09596948768169	24.616018967116787
SRR3216857_1	42.698487712665404	44.210775047258984
