Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66
SRR3216589_1	(1, 33.10211871007945)	(2, 32.82730954977411)	(3, 33.053123539492134)	(4, 33.02640598224023)	(5, 33.01877239445396)	(6, 36.46486991743262)	(7, 36.35091135690917)	(8, 32.766240847484035)	(9, 35.813444461754166)	(10, 35.8038479513943)	(15, 37.552204393207674)	(20, 37.588939087085215)	(25, 37.03801215142546)	(30, 38.35033494313756)	(35, 37.8263280884873)	(40, 37.89721140364543)	(45, 37.560694812276054)	(50, 37.5003894687646)	(55, 37.40750895778159)	(60, 37.048091603053436)	(65, 38.000467362517526)	(70, 38.23276211247858)	(75, 37.85718959339461)	(80, 37.37658513787194)	(85, 36.46254868359558)	(90, 37.37558809783455)	(95, 35.757283065898115)	(100, 37.469278703847955)	(105, 38.03160928493535)	(110, 38.41671599937685)	(115, 38.35636391961365)	(120, 38.15179934569248)	(125, 38.304112790154235)	(130, 38.446159837981)	(135, 38.07457547904658)	(140, 38.02458326842188)	(145, 38.1728773952329)	(150, 35.02034584826297)	(155, 37.20227449758529)	(160, 37.23773173391494)	(165, 37.452406916965266)	(170, 37.78079140052968)	(175, 38.12768343978813)	(180, 37.60783611154385)	(185, 36.4338214675183)	(190, 37.31472191930207)	(195, 37.241543107951394)	(200, 37.22291008722766)	(205, 37.42245567798581)	(210, 36.379121182135286)	(215, 37.31390109505573)	(220, 36.67963994508396)	(225, 36.545197076608495)	(230, 37.17218500172885)	(235, 36.793050634951655)	(240, 36.43458877925615)	(245, 34.77420189705075)	(250, 32.15240865018369)	(255, 36.7)	(260, 34.6)	(265, 36.0)	(270, 36.8)	(275, 35.8)	(280, 37.2)	(285, 36.2)	(290, 33.8)	(295, 32.0)
SRR3216590_1	(1, 33.062506724045186)	(2, 32.73889187735342)	(3, 33.00849919311458)	(4, 33.014416352877895)	(5, 33.00473372781065)	(6, 36.41947283485745)	(7, 36.31866594943518)	(8, 32.781495427649276)	(9, 35.776546530392686)	(10, 35.814954276492735)	(15, 37.55320064550833)	(20, 37.56662721893491)	(25, 36.990059171597636)	(30, 38.33125336202259)	(35, 37.82868208714363)	(40, 37.895083378160294)	(45, 37.552189349112425)	(50, 37.49478214093598)	(55, 37.38973641742872)	(60, 37.059128563743954)	(65, 37.998924152770314)	(70, 38.206003227541686)	(75, 37.82807961269499)	(80, 37.33736417428725)	(85, 36.49430876815492)	(90, 37.40802582033351)	(95, 35.75251210328133)	(100, 37.425626681011295)	(105, 38.0235180204411)	(110, 38.373770844540076)	(115, 38.32647660032275)	(120, 38.157762237762235)	(125, 38.28561592253901)	(130, 38.441785906401286)	(135, 38.06112963959118)	(140, 38.01876277568585)	(145, 38.18825174825175)	(150, 34.94551909628832)	(155, 37.20837009144701)	(160, 37.21753630984399)	(165, 37.439462076385155)	(170, 37.785110274341044)	(175, 38.142549757934376)	(180, 37.68395911780527)	(185, 36.512834857450244)	(190, 37.32280961428203)	(195, 37.23414308436197)	(200, 37.22468101502652)	(205, 37.43372338143591)	(210, 36.36205767151889)	(215, 37.368106949228824)	(220, 36.606018060760114)	(225, 36.58929331870463)	(230, 37.20011287897329)	(235, 36.75455587716632)	(240, 36.39980508871305)	(245, 35.151423911644386)	(250, 32.184861404759346)									
SRR3216591_1	(1, 33.09179705164149)	(2, 32.75481595369449)	(3, 33.044406258478794)	(4, 33.010491091616174)	(5, 33.01591751831419)	(6, 36.32983630279461)	(7, 36.31590847426969)	(8, 32.84471375599168)	(9, 35.88884869313557)	(10, 35.88005788188478)	(15, 37.544379126345305)	(20, 37.58923758704893)	(25, 36.98089897802297)	(30, 38.36304603418649)	(35, 37.807054354707425)	(40, 37.907913538934615)	(45, 37.50735280817581)	(50, 37.47568056434837)	(55, 37.387012752102734)	(60, 37.025847879171565)	(65, 38.03901600795876)	(70, 38.20018088088993)	(75, 37.87061589943022)	(80, 37.29058514967893)	(85, 36.408971692140724)	(90, 37.329366012480776)	(95, 35.70708148684092)	(100, 37.506231346658225)	(105, 38.169413041512165)	(110, 38.462964637786015)	(115, 38.32699647282264)	(120, 38.15011305055621)	(125, 38.34021886587682)	(130, 38.45216604865696)	(135, 38.03570588767296)	(140, 37.953441258930994)	(145, 38.113683639323504)	(150, 34.70378945464412)	(155, 37.063507280455816)	(160, 37.18120647553586)	(165, 37.28910192638148)	(170, 37.87108618974405)	(175, 38.06133670977661)	(180, 37.48854119562269)	(185, 36.327358234602514)	(190, 37.18562962190266)	(195, 37.164949122402014)	(200, 37.08170853230006)	(205, 37.39217107186995)	(210, 36.25026102354785)	(215, 37.21915171644589)	(220, 36.71705978475044)	(225, 36.485728153197705)	(230, 36.924698474376996)	(235, 36.831298275329814)	(240, 36.45893002781258)	(245, 35.487271705630164)	(250, 32.5874027050274)									
SRR3216592_1	(1, 33.130190605854324)	(2, 32.86975266621285)	(3, 33.09853641933288)	(4, 33.09904697072839)	(5, 33.078851826639436)	(6, 36.47980485591105)	(7, 36.414170637621964)	(8, 32.82828454731109)	(9, 35.84870660313138)	(10, 35.88975493533015)	(15, 37.60153165418652)	(20, 37.66175402768323)	(25, 37.064216019968235)	(30, 38.394792375765824)	(35, 37.86535057862492)	(40, 37.95341502155661)	(45, 37.58267528931246)	(50, 37.541853868845024)	(55, 37.42194236442024)	(60, 37.11300204220558)	(65, 38.0641933287951)	(70, 38.25658044020876)	(75, 37.90833900612662)	(80, 37.309405491263895)	(85, 36.50128205128205)	(90, 37.337837531200364)	(95, 35.86837985023825)	(100, 37.571057408668025)	(105, 37.943578398003176)	(110, 38.33636260494667)	(115, 38.2384048105287)	(120, 38.0449739051509)	(125, 38.200782845473114)	(130, 38.29252325845246)	(135, 37.79223961878829)	(140, 37.850555933741774)	(145, 37.89169503063308)	(150, 33.86869752666213)	(155, 36.50467438166553)	(160, 36.59977308826867)	(165, 36.630099841161794)	(170, 37.39931926480599)	(175, 37.64526889040163)	(180, 36.97322441570229)	(185, 35.436498751985475)	(190, 36.63123634374627)	(195, 36.74868453648681)	(200, 36.22126949000072)	(205, 36.58633679787882)	(210, 35.30041013986422)	(215, 36.778912237233065)	(220, 35.81670714077113)	(225, 35.895651588158856)	(230, 36.59412707012687)	(235, 36.31433259062887)	(240, 36.315976991949285)	(245, 34.1074002041202)	(250, 32.592099253093025)	(255, 31.333333333333332)								
SRR3216593_1	(1, 33.01597735780152)	(2, 32.77394321190541)	(3, 33.00593444718342)	(4, 32.832648589427556)	(5, 32.857299370035605)	(6, 35.92440427280197)	(7, 35.83721354879942)	(8, 32.96795398520953)	(9, 34.37432666849265)	(10, 35.61875285309961)	(15, 37.532621199671325)	(20, 37.535268876107004)	(25, 37.23608143887519)	(30, 38.40812562768191)	(35, 37.749073313247514)	(40, 37.71416050397151)	(45, 37.486496850178035)	(50, 37.50028302748106)	(55, 37.0203597187985)	(60, 36.970017346845616)	(65, 37.43832739888615)	(70, 37.751702729845704)	(75, 37.40617182507076)	(80, 36.99674974892723)	(85, 36.66206518761983)	(90, 36.84548525518123)	(95, 35.95188532822058)	(100, 37.13209166438419)	(105, 37.397845339176484)	(110, 37.79399251346663)	(115, 37.800200858212364)	(120, 37.63511366748836)	(125, 37.80339632977267)	(130, 37.93663836391856)	(135, 37.30152469643021)	(140, 37.37777777777778)	(145, 37.55427736693144)	(150, 34.10468364831553)	(155, 36.99240390760522)	(160, 36.79110745914362)	(165, 36.86537021820506)	(170, 36.812416689491464)	(175, 37.7035697982288)	(180, 36.59695060713959)	(185, 35.27745823062175)	(190, 36.98310965032412)	(195, 36.99242829406855)	(200, 36.31741324979366)	(205, 36.62634993094377)	(210, 35.829849820140325)	(215, 36.816199647430835)	(220, 36.1681588253047)	(225, 36.28283967219018)	(230, 36.830428961668005)	(235, 36.527011801771756)	(240, 35.71697724186939)	(245, 34.47510255155578)	(250, 32.27412117070486)	(255, 31.866666666666667)	(260, 32.0)							
SRR3216594_1	(1, 33.068835350283116)	(2, 32.78871988453425)	(3, 33.04052403686022)	(4, 32.91806372821139)	(5, 32.97068946375042)	(6, 36.27423115354724)	(7, 36.162762295992)	(8, 32.95847674031309)	(9, 34.512268235816585)	(10, 35.54515376929054)	(15, 37.51306761407794)	(20, 37.55929832352614)	(25, 37.18709892305984)	(30, 38.404729654712995)	(35, 37.83608304651936)	(40, 37.74428777617409)	(45, 37.649028533362944)	(50, 37.55445764405463)	(55, 37.249961141334516)	(60, 37.06781392250472)	(65, 37.54899522593538)	(70, 37.990895969801265)	(75, 37.576174086821354)	(80, 37.124902853336295)	(85, 36.676607083379594)	(90, 36.99962251582103)	(95, 36.00235372488065)	(100, 37.17046741423337)	(105, 37.34524258909737)	(110, 37.91011435550128)	(115, 37.923881425557894)	(120, 37.82826690351949)	(125, 37.94248917508604)	(130, 38.16129676917952)	(135, 37.57708448984123)	(140, 37.6808260242034)	(145, 37.72685688908627)	(150, 34.367647385366936)	(155, 37.069812368158104)	(160, 36.82045076051959)	(165, 36.893349616964585)	(170, 37.099500388586655)	(175, 37.824669701343396)	(180, 36.851404463195294)	(185, 35.42931053624959)	(190, 37.00093260797157)	(195, 37.173572028893716)	(200, 36.65741139043659)	(205, 36.91235450953583)	(210, 36.12694405737683)	(215, 36.92026791281244)	(220, 36.1820088676972)	(225, 36.603577043101424)	(230, 36.90554925754414)	(235, 36.60554875838487)	(240, 35.94625712293452)	(245, 34.66758431662952)	(250, 32.244634265441405)									
SRR3216595_1	(1, 33.099651425056386)	(2, 32.77711708017224)	(3, 33.0178388353496)	(4, 33.028296083657985)	(5, 33.03403731802337)	(6, 36.40086118515481)	(7, 36.31535780192741)	(8, 32.79782653270453)	(9, 35.355341398400654)	(10, 35.7596063153578)	(15, 37.578962476932546)	(20, 37.597744515070744)	(25, 37.099118310436744)	(30, 38.36953044904654)	(35, 37.8610211195407)	(40, 37.88661062128357)	(45, 37.595776091859754)	(50, 37.47627639942588)	(55, 37.363830223498056)	(60, 37.12548697970063)	(65, 37.93696944843141)	(70, 38.17494361287677)	(75, 37.84330531064178)	(80, 37.39881074431002)	(85, 36.57715808898913)	(90, 37.46245642813205)	(95, 35.78191511174903)	(100, 37.41570637687103)	(105, 37.80738158704121)	(110, 38.211564486364566)	(115, 38.24027065819151)	(120, 38.16994053721551)	(125, 38.1191716218987)	(130, 38.364609391019066)	(135, 37.902029936436335)	(140, 37.94984621693664)	(145, 38.01353290957556)	(150, 34.41566536805413)	(155, 37.008324789829814)	(160, 36.848841500922696)	(165, 37.209924133688745)	(170, 37.40529013737954)	(175, 37.96038548287882)	(180, 37.198564691408656)	(185, 35.86057002255485)	(190, 37.03682591757227)	(195, 37.0498993836814)	(200, 36.601021867314486)	(205, 37.11497264327037)	(210, 35.87377449164504)	(215, 36.912520729684914)	(220, 36.422163102978416)	(225, 36.413462218105735)	(230, 36.75249222806717)	(235, 36.665386848694126)	(240, 36.20860094827977)	(245, 34.892760423857546)	(250, 32.48744222801746)	(255, 29.8)	(260, 29.8)	(265, 36.6)	(270, 35.6)	(275, 37.2)	(280, 32.0)	(285, 33.8)	(290, 28.0)	
SRR3216596_1	(1, 33.01886056191467)	(2, 32.73113943808533)	(3, 33.01040582726327)	(4, 32.99414672216441)	(5, 32.977757544224765)	(6, 36.410119667013525)	(7, 36.33922996878252)	(8, 32.791363163371486)	(9, 35.33337669094693)	(10, 35.67885015608741)	(15, 37.538267429760666)	(20, 37.55900104058272)	(25, 37.034807492195625)	(30, 38.354604578564)	(35, 37.81386576482831)	(40, 37.853642039542144)	(45, 37.57648283038502)	(50, 37.47947450572321)	(55, 37.325)	(60, 37.07887617065557)	(65, 37.85067637877212)	(70, 38.12765348595214)	(75, 37.74040062434964)	(80, 37.2972684703434)	(85, 36.52676899063475)	(90, 37.40962539021852)	(95, 35.723022892819984)	(100, 37.353199791883455)	(105, 37.801638917793966)	(110, 38.197346514047865)	(115, 38.22130593132154)	(120, 38.11982310093653)	(125, 38.152679500520286)	(130, 38.38993236212279)	(135, 37.95325182101977)	(140, 37.95809053069719)	(145, 38.05567117585848)	(150, 34.75941727367325)	(155, 37.162695109261186)	(160, 37.13163371488033)	(165, 37.38426118626431)	(170, 37.60189906347555)	(175, 38.07081165452654)	(180, 37.45452653485952)	(185, 36.170213319458895)	(190, 37.26179749328806)	(195, 37.240107525225554)	(200, 37.01952136017826)	(205, 37.35635367950484)	(210, 36.296259134897575)	(215, 37.251311415861885)	(220, 36.648255482352305)	(225, 36.61708254680158)	(230, 37.09866615600934)	(235, 36.8334239848566)	(240, 36.33343031645677)	(245, 35.007162034539334)	(250, 32.13348492175698)									
SRR3216597_1	(1, 33.06750992793058)	(2, 32.77442761190371)	(3, 33.01465901848311)	(4, 32.983134774721776)	(5, 32.96876991714468)	(6, 36.34348188459087)	(7, 36.28352208658136)	(8, 32.8157572191989)	(9, 34.90302495465019)	(10, 35.636652448889535)	(15, 37.54754130509389)	(20, 37.550169142520964)	(25, 37.07459920576555)	(30, 38.38176202382704)	(35, 37.83222042457224)	(40, 37.78384076089621)	(45, 37.61408050203461)	(50, 37.49353336274943)	(55, 37.29551404618326)	(60, 37.07313820659901)	(65, 37.76404373192136)	(70, 38.106898073246064)	(75, 37.687503064176106)	(80, 37.15203216159239)	(85, 36.46984360445164)	(90, 37.16826984360445)	(95, 35.66068539491101)	(100, 37.337069176839734)	(105, 37.72082168946414)	(110, 38.16316124920332)	(115, 38.101014855125754)	(120, 38.01854194244252)	(125, 38.13400990341717)	(130, 38.284953669657305)	(135, 37.82181693386283)	(140, 37.79306760798157)	(145, 37.904211403637795)	(150, 34.81143305388048)	(155, 37.130793744178064)	(160, 37.01554150120116)	(165, 37.24185909692602)	(170, 37.425219395009066)	(175, 37.98893954993381)	(180, 37.3999117517282)	(185, 36.153091140854045)	(190, 37.22252007648668)	(195, 37.32835194359126)	(200, 37.00138730887611)	(205, 37.25388930629619)	(210, 36.30039888278397)	(215, 37.039467718914146)	(220, 36.61514627743729)	(225, 36.77406389988989)	(230, 37.10124242123428)	(235, 36.90729115004266)	(240, 36.35629929922438)	(245, 35.03710599306796)	(250, 32.18655428246916)	(255, 36.2)	(260, 26.4)	(265, 29.8)	(270, 36.6)	(275, 35.6)	(280, 29.6)	(285, 25.666666666666668)		
SRR3216598_1	(1, 33.05218587145339)	(2, 32.77345107122177)	(3, 33.0005790387956)	(4, 33.02120729588882)	(5, 32.97379849449913)	(6, 36.34076433121019)	(7, 36.30066589461494)	(8, 32.81890561667632)	(9, 35.75846844238564)	(10, 35.82232194557035)	(15, 37.55790387955993)	(20, 37.56844238563984)	(25, 37.032513028372904)	(30, 38.36935437174291)	(35, 37.83187608569774)	(40, 37.89720613781123)	(45, 37.52036768963521)	(50, 37.49816155182397)	(55, 37.3754198031268)	(60, 37.026867400115805)	(65, 37.99937753329473)	(70, 38.18740590619571)	(75, 37.833627678054434)	(80, 37.334452808338156)	(85, 36.46971627099016)	(90, 37.33160104226983)	(95, 35.743254198031266)	(100, 37.481412854661265)	(105, 38.081774753908505)	(110, 38.39056166763173)	(115, 38.28426462072959)	(120, 38.136711059640994)	(125, 38.28870874348581)	(130, 38.41466415749856)	(135, 37.91677764910249)	(140, 37.931036479444124)	(145, 38.02707006369427)	(150, 34.46321656050955)	(155, 36.93986682107701)	(160, 37.00861320208454)	(165, 37.1287492762015)	(170, 37.73666763173132)	(175, 37.924102489866826)	(180, 37.295440069484656)	(185, 36.15172264041691)	(190, 37.131409910005445)	(195, 37.073059063925335)	(200, 36.84711981311816)	(205, 37.26432389674621)	(210, 35.998304228701265)	(215, 36.992618372624506)	(220, 36.501725880074055)	(225, 36.36378171470442)	(230, 36.71761722061101)	(235, 36.71840838555998)	(240, 36.276033082826196)	(245, 35.23356638301513)	(250, 32.67357831897472)	(255, 31.7)	(260, 37.4)	(265, 34.5)	(270, 34.5)	(275, 34.6)	(280, 36.2)	(285, 33.6)	(290, 28.2)	(295, 16.0)
