Sample	Unique Reads	Duplicate Reads
SRR3216589_1	284.0	12554.0
SRR3216590_1	242.0	9053.0
SRR3216591_1	239.0	10818.0
SRR3216592_1	338.0	17290.0
SRR3216593_1	848.0	10105.0
SRR3216594_1	612.0	8395.0
SRR3216595_1	215.0	4662.0
SRR3216596_1	274.0	7414.0
SRR3216597_1	767.0	19630.0
SRR3216598_1	333.0	13483.0
SRR3216599_1	601.0	12546.0
SRR3216600_1	365.0	6253.0
SRR3216601_1	765.0	34655.0
SRR3216602_1	564.0	23058.0
SRR3216603_1	485.0	14796.0
SRR3216604_1	354.0	7862.0
SRR3216605_1	442.0	7407.0
SRR3216606_1	446.0	10036.0
SRR3216607_1	212.0	6149.0
SRR3216610_1	173.0	5875.0
SRR3216612_1	802.0	6116.0
SRR3216613_1	651.0	24646.0
SRR3216614_1	429.0	17008.0
SRR3216615_1	459.0	13533.0
SRR3216616_1	298.0	5972.0
SRR3216617_1	838.0	10174.0
SRR3216618_1	507.0	7564.0
SRR3216619_1	473.0	10388.0
SRR3216620_1	589.0	16961.0
SRR3216621_1	628.0	16007.0
SRR3216622_1	282.0	10407.0
SRR3216623_1	918.0	16801.0
SRR3216624_1	493.0	4418.0
SRR3216625_1	534.0	22395.0
SRR3216626_1	538.0	20063.0
SRR3216627_1	814.0	25567.0
SRR3216628_1	498.0	7611.0
SRR3216629_1	1489.0	22766.0
SRR3216630_1	656.0	9641.0
SRR3216631_1	215.0	9407.0
SRR3216632_1	472.0	12217.0
SRR3216633_1	708.0	26379.0
SRR3216634_1	280.0	8003.0
SRR3216635_1	758.0	14339.0
SRR3216636_1	651.0	7618.0
SRR3216637_1	328.0	8217.0
SRR3216638_1	284.0	7285.0
SRR3216639_1	705.0	20259.0
SRR3216640_1	538.0	9713.0
SRR3216641_1	1517.0	23484.0
SRR3216642_1	1662.0	23413.0
SRR3216643_1	263.0	6958.0
SRR3216644_1	572.0	21093.0
SRR3216645_1	533.0	22280.0
SRR3216646_1	436.0	9507.0
SRR3216647_1	782.0	9846.0
SRR3216648_1	1556.0	30838.0
SRR3216649_1	293.0	6010.0
SRR3216650_1	434.0	12577.0
SRR3216651_1	604.0	7229.0
SRR3216652_1	420.0	8532.0
SRR3216653_1	502.0	5497.0
SRR3216654_1	1303.0	23306.0
SRR3216655_1	697.0	14182.0
SRR3216656_1	1150.0	17014.0
SRR3216657_1	341.0	14121.0
SRR3216658_1	301.0	8379.0
SRR3216659_1	924.0	12841.0
SRR3216660_1	1527.0	23859.0
SRR3216661_1	335.0	6710.0
SRR3216662_1	721.0	17352.0
SRR3216663_1	382.0	14532.0
SRR3216664_1	189.0	4343.0
SRR3216665_1	910.0	12053.0
SRR3216666_1	1481.0	20245.0
SRR3216667_1	661.0	23757.0
SRR3216668_1	321.0	8800.0
SRR3216669_1	322.0	15242.0
SRR3216670_1	553.0	10569.0
SRR3216671_1	982.0	15882.0
SRR3216672_1	2026.0	34990.0
SRR3216673_1	794.0	20650.0
SRR3216674_1	350.0	6655.0
SRR3216675_1	363.0	8308.0
SRR3216676_1	351.0	5419.0
SRR3216677_1	881.0	13053.0
SRR3216678_1	778.0	13212.0
SRR3216679_1	594.0	19331.0
SRR3216680_1	359.0	6561.0
SRR3216681_1	678.0	15280.0
SRR3216682_1	611.0	5307.0
SRR3216683_1	645.0	7962.0
SRR3216684_1	873.0	10488.0
