Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR3216589_1	(1.0, 1.0204081632653061)	(2.0, 0.747780028041751)	(3.0, 0.3972581398971803)	(4.0, 0.28041751051565666)	(5.0, 0.31157501168406293)	(6.0, 0.420626265773485)	(7.0, 0.21810250817884408)	(8.0, 0.3738900140208755)	(9.0, 0.5608350210313133)	('>10', 5.522667082100016)	('>50', 1.2385106714441503)	('>100', 0.0)	('>500', 6.145817105468141)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 82.76211247857923)
SRR3216590_1	(1.0, 1.2157073695535234)	(2.0, 0.7530930607853685)	(3.0, 0.7423345884884347)	(4.0, 0.43033889187735336)	(5.0, 0.8068854222700376)	(6.0, 0.19365250134480905)	(7.0, 0.527165142549758)	(8.0, 0.258203335126412)	(9.0, 0.0)	('>10', 5.583647122108661)	('>50', 0.0)	('>100', 0.0)	('>500', 7.251210328133404)	('>1k', 0.0)	('>5k', 82.23776223776224)	('>10k+', 0.0)
SRR3216591_1	(1.0, 0.9767568056434839)	(2.0, 0.43411413584154834)	(3.0, 0.4069820023514516)	(4.0, 0.43411413584154834)	(5.0, 0.6330831147689246)	(6.0, 0.5969069367821289)	(7.0, 0.12661662295378492)	(8.0, 0.578818847788731)	(9.0, 0.48837840282174194)	('>10', 5.679659943926924)	('>50', 0.0)	('>100', 2.3424075246450213)	('>500', 0.0)	('>1k', 0.0)	('>5k', 87.30216152663472)	('>10k+', 0.0)
SRR3216592_1	(1.0, 0.9076469253460404)	(2.0, 0.5445881552076242)	(3.0, 0.3403675970047651)	(4.0, 0.3403675970047651)	(5.0, 0.31200363058770136)	(6.0, 0.2382573179033356)	(7.0, 0.31767642387111417)	(8.0, 0.36305877013841614)	(9.0, 0.10211027910142954)	('>10', 5.7975947356478335)	('>50', 0.8112094395280236)	('>100', 0.641025641025641)	('>500', 4.538234626730202)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 84.74585886090311)
SRR3216593_1	(1.0, 3.9167351410572446)	(2.0, 2.8302748105541857)	(3.0, 1.80772391125719)	(4.0, 1.2781886241212455)	(5.0, 1.0499406555281658)	(6.0, 1.0408107367844426)	(7.0, 0.9586414680909341)	(8.0, 0.8764721993974254)	(9.0, 0.5751848808545604)	('>10', 10.946772573724093)	('>50', 8.454304756687666)	('>100', 16.0686569889528)	('>500', 5.687939377339542)	('>1k', 44.508353875650506)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216594_1	(1.0, 3.5305873209725767)	(2.0, 2.753414011324525)	(3.0, 1.6986788053735984)	(4.0, 0.6661485511269013)	(5.0, 0.9437104474297767)	(6.0, 0.8659931164649717)	(7.0, 0.5440213167536361)	(8.0, 0.7105584545353614)	(9.0, 0.49961141334517595)	('>10', 7.793938048184746)	('>50', 8.00488508937493)	('>100', 14.777395359165094)	('>500', 7.438658820917064)	('>1k', 49.77239924503164)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216595_1	(1.0, 2.1119540701250767)	(2.0, 1.6403526758253024)	(3.0, 0.9842116054951815)	(4.0, 0.9842116054951815)	(5.0, 1.4353085913471395)	(6.0, 0.7381587041213861)	(7.0, 1.0047160139429978)	(8.0, 0.8201763379126512)	(9.0, 0.36907935206069303)	('>10', 1.7838835349600166)	('>50', 0.0)	('>100', 4.30592577404142)	('>500', 11.543981956120566)	('>1k', 72.2780397785524)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216596_1	(1.0, 1.6519250780437045)	(2.0, 1.1186264308012486)	(3.0, 1.09261186264308)	(4.0, 1.1446409989594173)	(5.0, 0.3251821019771072)	(6.0, 0.54630593132154)	(7.0, 0.6373569198751301)	(8.0, 0.6243496357960457)	(9.0, 0.8194588969823101)	('>10', 2.5624349635796047)	('>50', 2.1462018730489074)	('>100', 3.160770031217482)	('>500', 0.0)	('>1k', 13.631633714880333)	('>5k', 70.5385015608741)	('>10k+', 0.0)
SRR3216597_1	(1.0, 1.9120458891013385)	(2.0, 1.2158650781977742)	(3.0, 0.7206942197381968)	(4.0, 0.7059861744374172)	(5.0, 0.41672795018875325)	(6.0, 0.558905721429622)	(7.0, 0.44614404079031234)	(8.0, 0.4314359954895328)	(9.0, 0.529489630828063)	('>10', 7.197136833848115)	('>50', 3.613276462224837)	('>100', 7.231455606216601)	('>500', 10.26621561994411)	('>1k', 8.947394224640878)	('>5k', 0.0)	('>10k+', 55.80722655292445)
SRR3216598_1	(1.0, 1.0784597568037058)	(2.0, 0.7237984944991315)	(3.0, 0.5428488708743486)	(4.0, 0.4053271569195136)	(5.0, 0.3257093225246091)	(6.0, 0.26056745801968734)	(7.0, 0.4053271569195136)	(8.0, 0.5211349160393747)	(9.0, 0.3257093225246091)	('>10', 6.210191082802548)	('>50', 1.4258830341632889)	('>100', 4.473074696004632)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 83.30196873190503)
