Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR3216589_1	SRR3216589_1.fastq	Conventional base calls	Sanger / Illumina 1.9	12838.0	3.2 Mbp	0.0	198-296	51.0	2.2121825829568467	252.27052500389468	252	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR3216590_1	SRR3216590_1.fastq	Conventional base calls	Sanger / Illumina 1.9	9295.0	2.3 Mbp	0.0	191-254	51.0	2.603550295857988	252.16089295320066	252	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR3216591_1	SRR3216591_1.fastq	Conventional base calls	Sanger / Illumina 1.9	11057.0	2.7 Mbp	0.0	191-254	51.0	2.1615266347110427	252.13570588767297	252	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR3216592_1	SRR3216592_1.fastq	Conventional base calls	Sanger / Illumina 1.9	17628.0	4.4 Mbp	0.0	191-257	51.0	1.9174041297935103	251.8846153846154	252	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR3216593_1	SRR3216593_1.fastq	Conventional base calls	Sanger / Illumina 1.9	10953.0	2.7 Mbp	0.0	196-260	53.0	7.742171094677257	252.23797133205514	252	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR3216594_1	SRR3216594_1.fastq	Conventional base calls	Sanger / Illumina 1.9	9007.0	2.2 Mbp	0.0	196-254	52.0	6.7947152214943936	252.4285000555124	252	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR3216595_1	SRR3216595_1.fastq	Conventional base calls	Sanger / Illumina 1.9	4877.0	1.2 Mbp	0.0	198-293	51.0	4.4084478162805	251.87625589501744	252	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR3216596_1	SRR3216596_1.fastq	Conventional base calls	Sanger / Illumina 1.9	7688.0	1.9 Mbp	0.0	191-254	51.0	3.5509885535900105	252.09261186264308	252	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR3216597_1	SRR3216597_1.fastq	Conventional base calls	Sanger / Illumina 1.9	20397.0	5.1 Mbp	0.0	191-287	52.0	3.760356915232632	252.22799921557092	252	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR3216598_1	SRR3216598_1.fastq	Conventional base calls	Sanger / Illumina 1.9	13816.0	3.4 Mbp	0.0	191-296	51.0	2.4102489866821077	251.4299363057325	252	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
