Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR3216589_1	97.78781741704316	51.0	252.27052500389468	252	40.0	0.012837999999999999
SRR3216590_1	97.39644970414201	51.0	252.16089295320066	252	40.0	0.009295
SRR3216591_1	97.83847336528896	51.0	252.13570588767297	252	40.0	0.011056999999999999
SRR3216592_1	98.08259587020649	51.0	251.8846153846154	252	40.0	0.017627999999999998
SRR3216593_1	92.25782890532274	53.0	252.23797133205514	252	40.0	0.010953
SRR3216594_1	93.2052847785056	52.0	252.4285000555124	252	40.0	0.009007
SRR3216595_1	95.5915521837195	51.0	251.87625589501744	252	40.0	0.004876999999999999
SRR3216596_1	96.44901144640998	51.0	252.09261186264308	252	40.0	0.0076879999999999995
SRR3216597_1	96.23964308476737	52.0	252.22799921557092	252	40.0	0.020397
SRR3216598_1	97.5897510133179	51.0	251.4299363057325	252	40.0	0.013816
SRR3216599_1	95.42861489313151	52.0	252.25553358180574	252	40.0	0.013146999999999999
SRR3216600_1	94.48473859171955	51.0	252.16938652160775	252	40.0	0.006618
SRR3216601_1	97.84020327498588	52.0	252.35127046866177	252	40.0	0.03542
SRR3216602_1	97.61239522479045	52.0	252.2248327829989	252	40.0	0.023622
SRR3216603_1	96.82612394476801	56.0	251.66877167724624	252	40.0	0.015281
SRR3216604_1	95.69133398247322	53.0	251.73369036027265	252	40.0	0.008216
SRR3216605_1	94.36870938973118	52.0	252.2936042808001	252	40.0	0.007849
SRR3216606_1	95.74508681549322	52.0	252.24184315970234	252	40.0	0.010482
SRR3216607_1	96.66719069328722	51.0	251.96486401509196	252	40.0	0.0063609999999999995
SRR3216610_1	97.13955026455027	50.0	252.14252645502646	252	40.0	0.0060479999999999996
SRR3216612_1	88.4070540618676	52.0	252.15250072275225	252	40.0	0.006918
SRR3216613_1	97.42657232082856	51.0	252.33642329129935	252	40.0	0.025297
SRR3216614_1	97.53971440041292	52.0	252.1903137007513	252	40.0	0.017436999999999998
SRR3216615_1	96.71955403087479	52.0	251.357132647227	252	40.0	0.013992
SRR3216616_1	95.24720893141946	53.0	253.35933014354066	254	40.0	0.0062699999999999995
SRR3216617_1	92.39011986923356	53.0	252.5118053033055	252	40.0	0.011012
SRR3216618_1	93.71825052657664	53.0	252.989158716392	254	40.0	0.008071
SRR3216619_1	95.64496823496916	52.0	252.083279624344	252	40.0	0.010860999999999999
SRR3216620_1	96.64387464387464	52.0	252.34934472934472	252	40.0	0.01755
SRR3216621_1	96.22482717162609	51.0	252.44253080853622	252	40.0	0.016635
SRR3216622_1	97.36177378613527	50.0	252.24160351763496	252	40.0	0.010688999999999999
SRR3216623_1	94.81912071787347	53.0	252.27278627462047	252	40.0	0.017719
SRR3216624_1	89.96131134188556	53.0	252.47882305029526	252	40.0	0.004911
SRR3216625_1	97.67107156875572	52.0	252.04747263291029	252	40.0	0.022928999999999998
SRR3216626_1	97.38847628755886	52.0	252.04011941167906	252	40.0	0.020600999999999998
SRR3216627_1	96.91444600280505	52.0	252.74115840946135	252	40.0	0.026380999999999998
SRR3216628_1	93.85867554568998	52.0	252.3490566037736	252	40.0	0.008109
SRR3216629_1	93.8610595753453	53.0	251.427540713255	252	40.0	0.024255
SRR3216630_1	93.62921239195882	53.0	252.71559677575993	252	40.0	0.010296999999999999
SRR3216631_1	97.76553731033049	51.0	252.03294533361048	252	40.0	0.009622
SRR3216632_1	96.28024272992356	51.0	252.30644652848923	252	40.0	0.012688999999999999
SRR3216633_1	97.38620002215085	51.0	252.13665226861593	252	40.0	0.027087
SRR3216634_1	96.6195822769528	51.0	252.1170469636605	252	40.0	0.008283
SRR3216635_1	94.97913492746903	52.0	251.46565542823078	252	40.0	0.015097
SRR3216636_1	92.13931551578183	52.0	252.1565485548434	252	40.0	0.008269
SRR3216637_1	96.16149795201872	51.0	252.374078408426	252	40.0	0.008544999999999999
SRR3216638_1	96.26106486986392	51.0	252.482560443916	252	40.0	0.007568999999999999
SRR3216639_1	96.63709215798512	53.0	252.61782102652165	252	40.0	0.020964
SRR3216640_1	94.7517315383865	53.0	252.92864110818456	252	40.0	0.010251
SRR3216641_1	93.93224271029159	53.0	252.3582456701732	252	40.0	0.025001
SRR3216642_1	93.37188434695912	53.0	252.5381256231306	252	40.0	0.025075
SRR3216643_1	96.35784517379864	52.0	251.99951530258966	252	40.0	0.007221
SRR3216644_1	97.35979690745442	52.0	251.98866835910454	252	40.0	0.021665
SRR3216645_1	97.66361285232105	52.0	252.1131153289791	252	40.0	0.022813
SRR3216646_1	95.61500553152972	53.0	252.08825304234134	252	40.0	0.009942999999999999
SRR3216647_1	92.64207753105006	53.0	252.4548362815205	252	40.0	0.010628
SRR3216648_1	95.19664135333704	53.0	251.50515527566833	252	40.0	0.032394
SRR3216649_1	95.3514199587498	53.0	252.027526574647	252	40.0	0.006303
SRR3216650_1	96.66436092537084	52.0	252.13892091307355	252	40.0	0.013011
SRR3216651_1	92.28903357589685	53.0	251.79503383122687	252	40.0	0.007833
SRR3216652_1	95.3083109919571	52.0	251.77613941018768	252	40.0	0.008952
SRR3216653_1	91.63193865644274	53.0	252.1262710451742	252	40.0	0.005999
SRR3216654_1	94.70518915843797	53.0	252.09689544475597	252	40.0	0.024609
SRR3216655_1	95.31554539955643	52.0	252.04432421533704	252	40.0	0.014879
SRR3216656_1	93.66879541951113	52.0	252.07201057035894	252	40.0	0.018164
SRR3216657_1	97.64209652883419	50.0	251.97849536716913	252	40.0	0.014462
SRR3216658_1	96.53225806451613	51.0	252.06244239631337	252	40.0	0.00868
SRR3216659_1	93.28732292045042	53.0	252.31707228478024	252	40.0	0.013765
