"taxon","lfc_isolateAxilla","lfc_isolateScalp","lfc_isolateScalp_isolateAxilla","se_isolateAxilla","se_isolateScalp","se_isolateScalp_isolateAxilla","W_isolateAxilla","W_isolateScalp","W_isolateScalp_isolateAxilla","p_isolateAxilla","p_isolateScalp","p_isolateScalp_isolateAxilla","q_isolateAxilla","q_isolateScalp","q_isolateScalp_isolateAxilla","diff_isolateAxilla","diff_isolateScalp","diff_isolateScalp_isolateAxilla","passed_ss_isolateAxilla","passed_ss_isolateScalp","passed_ss_isolateScalp_isolateAxilla","diff_robust_isolateAxilla","diff_robust_isolateScalp","diff_robust_isolateScalp_isolateAxilla","Taxon","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7"
"d23fbef2f31d48eda40876cdbc49933a",1.09035067347563,1.70700683266544,0.616656159189807,0.192481339665049,0.154145032164865,0.224521810445372,5.66470846146972,11.0740307922459,2.74653120766566,2.22955242347293e-08,3.42679951547899e-26,0.00619283486663606,5.56586108593601e-08,1.19814716872143e-25,0.00926697591554173,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"Bacteria; p__Bacillota; c__Bacilli","Bacteria","p__Bacillota","c__Bacilli",NA,NA,NA,NA
"8253a32e37cc65a796a92ee67b50d870",-1.13553780175042,2.253035249206,3.38857305095642,0.176124582081883,0.221495991283095,0.237848200767547,-6.44735554984874,10.1719007922197,14.246788666138,2.66381826955435e-10,3.10335857748954e-22,5.90790442829366e-39,3.98614532422521e-10,7.74723328337316e-22,2.06564140442498e-38,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Bacteria; p__Actinomycetota; c__Actinobacteria; o__Mycobacteriales; f__Corynebacteriaceae","Bacteria","p__Actinomycetota","c__Actinobacteria","o__Mycobacteriales","f__Corynebacteriaceae",NA,NA
"50a3b56e0b7db75ee9daccf7a751ba41",0.020258800133576,0.760352966029618,0.740094165896042,0.179508392262399,0.183794860879262,0.192597680409898,0.112857119816228,4.1369653231442,3.84269511616614,0.910247688273463,5.02571477357301e-05,0.000159623712730632,1,0.000175719235968092,0.000398485095809564,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter","Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter",NA
"8bc54d575f88d09b2ba16b7f571812ae",-0.253327885410736,-0.787677420396146,-0.534349534985409,0.161504540382233,0.150791821514965,0.197562151418576,-1.56854961978892,-5.2236083660411,-2.70471611666791,0.117275763615167,2.41752187112133e-07,0.00702872713304206,0.175491790157948,8.45263042708608e-07,0.0175465346414791,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"Bacteria; p__Actinomycetota; c__Actinobacteria; o__Mycobacteriales; f__Corynebacteriaceae; g__Corynebacterium","Bacteria","p__Actinomycetota","c__Actinobacteria","o__Mycobacteriales","f__Corynebacteriaceae","g__Corynebacterium",NA
"8c8598245ea67244fb156b6f31192a41",-1.2633948463624,-0.840000560907746,0.423394285454653,0.172973546620722,0.17679781782923,0.183651002377449,-7.30397723261485,-4.7511930363253,2.30542866618539,1.66193100592125e-12,2.8748017257825e-06,0.0216819644684535,5.81078035163834e-12,7.17666330105416e-06,0.0324449540247362,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Bacteria; p__Pseudomonadota; c__Gammaproteobacteria","Bacteria","p__Pseudomonadota","c__Gammaproteobacteria",NA,NA,NA,NA
"6c891abaa8f2147383dd332e601800eb",-0.636142665061869,-0.238505794914709,0.397636870147161,0.16654981843062,0.165474757597146,0.183529180835374,-3.81953382511112,-1.44134246442203,2.16661387762549,0.000154287574799309,0.150247562160463,0.0308369115395499,0.000539451520521325,0.224830884384002,0.0769813547066461,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"Bacteria; p__Actinomycetota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae","Bacteria","p__Actinomycetota","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae",NA,NA
"a5189f77a2cfeab3bc1602ff5c8ac3e9",-1.49824252569517,-0.89227025511739,0.605972270577785,0.147340881293215,0.149622675015119,0.170220631396291,-10.1685459768196,-5.96346947431081,3.55992258756824,6.20635663337634e-22,5.11566170183379e-09,0.000411852850677471,2.16999231929561e-21,1.27707525937865e-08,0.000616297790941827,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus","Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus",NA
"001553172d2deecaeee2c8fc47926bc6",1.99362083139363,-0.937702904477973,-2.93132373587161,0.14742870347763,0.126606321905782,0.16125008122147,13.5226098064149,-7.40644614236402,-18.1787426937513,5.13543216702461e-28,7.79498672611151e-12,2.89502387890185e-40,1.28201076399823e-27,1.16644405685697e-11,1.01221698211964e-39,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"Bacteria; p__Actinomycetota; c__Actinobacteria; o__Mycobacteriales; f__Corynebacteriaceae; g__Corynebacterium","Bacteria","p__Actinomycetota","c__Actinobacteria","o__Mycobacteriales","f__Corynebacteriaceae","g__Corynebacterium",NA
"cfeb33d30aa1b73ecca815bc65ff35f0",0.345515377080642,-0.704051558428944,-1.04956693550958,0.163693987674959,0.136556948179122,0.179020082836307,2.1107395695358,-5.1557358876052,-5.86284465340846,0.0353674570696343,3.85019313037313e-07,9.03351754334264e-09,0.0529239645358557,9.61163321035594e-07,3.15848167342771e-08,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"Bacteria; p__Actinomycetota; c__Actinobacteria; o__Mycobacteriales; f__Corynebacteriaceae; g__Corynebacterium","Bacteria","p__Actinomycetota","c__Actinobacteria","o__Mycobacteriales","f__Corynebacteriaceae","g__Corynebacterium",NA
"bb03e6ea99adcfcf8083ec2c9af114fb",0.799420825510543,2.83207252599472,2.03265170048418,0.151376907295787,0.15931604526208,0.186363179860925,5.28099589158929,17.7764425506286,10.9069382804106,2.05091862380765e-07,2.57493242181789e-53,1.33685043094601e-24,3.06900053058986e-07,9.00300112952154e-53,3.33731726286521e-24,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Bacteria; p__Actinomycetota; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Cutibacterium","Bacteria","p__Actinomycetota","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Cutibacterium",NA
