Feature ID	Taxon	Consensus
00006ccc28ff4e623b02eb9220be52fa	Unassigned	1.0
000529f90409472c1e671113e0cb25bf	d__Bacteria; p__Actinomycetota	0.55
000ad95f20fc9e01b841a67167051a3a	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria	0.95
000b1cc55db1f8fe181cd90d0e9ae9b9	d__Bacteria; p__Bacillota; c__Clostridia	0.6
000e38f477632fa6299901badf2e0f06	d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	0.556
001553172d2deecaeee2c8fc47926bc6	d__Bacteria; p__Actinomycetota; c__Actinobacteria; o__Mycobacteriales; f__Corynebacteriaceae; g__Corynebacterium	0.909
001555352722d8dfd8eda70cfce64bed	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter	0.7
0015d2234dafef564e00ce361726e104	d__Bacteria	1.0
0018fcaabf7abdbc7c1a1d0f87988a7e	d__Bacteria; p__Bacteroidota; c__Bacteroidia	1.0
001af7c816aec83599a30d4cdd731cfe	d__Bacteria	1.0
001bce66a32bef52da4723f11af9f038	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales	0.667
0022ef47373c3c2194b4d5b1ddb1934b	d__Bacteria; p__Actinomycetota; c__Actinobacteria; o__Mycobacteriales; f__Corynebacteriaceae; g__Corynebacterium	1.0
002585cef1f714508f1077ceef357b5b	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	1.0
0026a158659282f30b8c128aad463243	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales	0.75
00271959eeeb5f649e30c047d76739bb	d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	0.7
002a019e314e2832b1b283bb49803ef2	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria	0.95
002ab750b5a60c5385c2fe2f3f700b74	d__Bacteria; p__Bacillota	0.55
002b56183dec78e5632b9cbb9af24ba7	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria	0.95
002c00f1d87f7aba8ea98cbda602e2be	d__Bacteria; p__Bacillota; c__Bacilli	0.55
002e7ead8ebba21912a33a5a72d1723b	d__Bacteria; p__Bacillota	0.55
00357fbf36b31ddaa4170d4e303661d9	d__Bacteria	1.0
0035d12300105a9d3f64367c296e6b90	d__Bacteria; p__Bacillota	0.55
003bc24d6e38c402220f5f40fc49178f	d__Bacteria	1.0
003dfcbf03eac5303b9bb51f8cd8a72e	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella	0.667
004e15aa6dee79788edc7eb03e5e8bca	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia	0.571
00535684c9c012ef1b5b8420c1580472	d__Bacteria; p__Actinomycetota	0.917
00542c3650be287ce3a78828e2b0324d	d__Bacteria; p__Bacteroidota; c__Bacteroidia	1.0
00565f9981f176f2eae21aff895a72ff	d__Bacteria; p__Bacillota; c__Clostridia	0.6
006128c79cfb02f2eb8e91c687653aef	d__Bacteria; p__Actinomycetota; c__Actinobacteria	0.909
0064eeef40d6d0e3a19e60bc93e00fb2	d__Bacteria; p__Deinococcota; c__Deinococci; o__Deinococcales; f__Trueperaceae; g__Truepera	1.0
0065589e2f7513036a4da849d2f51443	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Incertae_Sedis	1.0
006a09db3fa47439a018027354dc8330	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria	0.9
006ac2908a7e108b592fc4e5c8621c5a	d__Bacteria; p__Bacteroidota; c__Bacteroidia	1.0
0071dda3b939ff975f5f7453eaed8409	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales	0.8
00751fa634535475b17f4deb25546884	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Hyphomicrobiales	0.7
007ad823990fdf88f460983e83c4fb2c	d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadia; o__Gemmatimonadales; f__Gemmatimonadaceae; g__Incertae_Sedis	0.727
007beb6c81e373c6d1e07b2fec6023c9	d__Bacteria; p__Bacillota	0.55
007c81fbc3d42fd3506145af7939c1b0	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria	0.95
007e37b314da09614e341b9255d3576f	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__Incertae_Sedis	0.571
0081425bac37cffe77f73dc69ca83c4f	d__Bacteria; p__Bacillota	1.0
008650e9981505fc3121a791f459f029	d__Bacteria	1.0
0088553fbbbf2fbc8918ad224557d65c	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria	0.95
00889a6b88ac27c7936d0006019d861d	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria	0.95
008b077453885b848353704734d16906	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria	0.7
008b14c8a3ae1a5b307194faa7a34abd	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria	0.85
008c9a81d7fcb22575123a9bbcd249fd	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomataceae; g__Dyadobacter	0.583
008eb2394a8e3ee75c6d9e264b3b1593	d__Bacteria; p__Actinomycetota	0.55
008f1ecb79a9bcef1ad5d20633f14226	d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia; o__Chloroplast; f__Incertae_Sedis; g__Incertae_Sedis	0.8
009349204ab0a0b58a1e2e8565647918	d__Bacteria; p__Actinomycetota	1.0
0095ea1e469c45b9a090731d81b72abb	d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__Bacillaceae	0.6
00963c3458f25c2e9c1b65c94e3ac3a0	d__Bacteria; p__Actinomycetota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae	0.727
00979c6b417b7978c1c656e263cdd054	d__Bacteria; p__Bacillota; c__Clostridia	0.55
0098479bb04503c853ffc492d9023b24	d__Bacteria	1.0
0099d7d12539d3f50c543bd56f06c670	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria	0.9
009aa30ef9b17a3141ea0051ddad2842	d__Bacteria; p__Actinomycetota; c__Actinobacteria; o__Mycobacteriales; f__Corynebacteriaceae; g__Corynebacterium	0.545
009c6cbffce84cbc6ef7b501193ab359	d__Bacteria; p__Deinococcota; c__Deinococci; o__Deinococcales; f__Trueperaceae; g__Truepera	1.0
00a3f98bbaf1bcea625387f4ec850d11	d__Bacteria; p__Actinomycetota; c__Actinobacteria	0.588
00a41891f235bfc9b9351adfef4eb381	d__Bacteria; p__Bacillota	0.55
00ab820375fc30b6f1cb262f02d33982	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria	0.9
00abf23ead45cd12daf16a1fb342fd98	d__Bacteria	1.0
00b4e96a1264ab52bdddb6c1979ab362	d__Bacteria; p__Bacteroidota; c__Bacteroidia	1.0
00b6ec4f8eb197da3fb77295b3901541	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__Incertae_Sedis	0.571
00b7d420e7070b95cc8e0f74ef40a34e	d__Bacteria; p__Bacillota; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Faecalibacterium	0.7
00bea52637e06d08c26555a576619353	d__Bacteria	1.0
00c0a3454d7fe20f422e498e45419a5d	d__Bacteria; p__Bacillota	0.55
00c5669497b6e19cbde79f135ff76c37	d__Bacteria; p__Bacillota; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Family_XI; g__Anaerococcus	0.6
00ca181ebe6aba8dc69ca15436732300	d__Bacteria; p__Bacteroidota; c__Bacteroidia	1.0
00d271ae56f21abbe45cb421a43dc570	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales	0.9
00d74ccc11b5a83623143c77984a2c06	d__Bacteria; p__Bacillota; c__Clostridia	0.6
00d8ee012aee5e062a577312182aad4f	d__Bacteria	1.0
00e24833572e85b8714c37792f4d4cf5	d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia; o__Chloroplast; f__Incertae_Sedis; g__Incertae_Sedis	1.0
00e5c53e5de89d9e75ef2771ed62717f	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Hyphomicrobiales	0.55
00e8b701332b299f784ee7b588f9ff1e	d__Bacteria; p__Actinomycetota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae	0.6
00eca3ddd84993908eae315a9b080a25	d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales	0.55
00ed006c273596a08571f4028022773d	Unassigned	1.0
00ed217e0158736bdb8808b3beb26460	d__Bacteria; p__Bacillota; c__Clostridia	0.6
00efab353a7350ea23ab21771ed7ac3a	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria	0.85
00f76258c8af0ccc970297c815f7536a	d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae	1.0
00f8edacdaf5effc659a7c3234451308	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales	0.571
00fa200f354d14e5854bd4f51f0e5cb7	d__Bacteria; p__Bacillota	0.55
00fb7d7884ea875181aafeea8cc36fa7	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae	0.75
010605dabd74206ab1ebabd8d2fa1de4	d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia; o__Synechococcales; f__Cyanobiaceae	0.727
01080e9f6920e834dd4353e0006970be	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria	1.0
0109bff20d734ae5f4e964216800c285	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales	0.65
01132a80c1235c86f6a3503dea3b3ecd	d__Bacteria; p__Actinomycetota; c__Actinobacteria; o__Mycobacteriales; f__Corynebacteriaceae; g__Corynebacterium	0.545
0114e367ae8f299e4df932b1ec80712c	Unassigned	1.0
01189e6b9a9962019cf0d7614049cf20	d__Bacteria	1.0
011abed3176326e9a739155f496943a7	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Gemmatales; f__Gemmataceae; g__Incertae_Sedis	1.0
011c5cf4341bef50005c3a620e70afa2	d__Bacteria; p__Actinomycetota; c__Actinobacteria	0.909
011e08cd1aaf2fae5716d2c827217f07	d__Bacteria; p__Bacillota	0.55
012161f83187764eb74d04e01b1ffea8	d__Bacteria; p__Actinomycetota	0.55
0125d3bf34fd092ad0c6e284fd4254d7	d__Bacteria; p__Bacillota; c__Clostridia	0.6
012855523f1312f0b7590233719615aa	d__Bacteria; p__Bacillota; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus	1.0
0128b231669847f20d95729a18da5a51	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales	0.778
01295f8777314debf858cb5b0aec692d	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria	0.8
012b00ea29b2975304ec8887d4d14497	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria	0.9
012bc5da670737c6e9217cc640e53b5a	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Incertae_Sedis	0.667
012f6f5ceb7136e3fb4458c2905533e3	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria	0.85
013a6a50266200e7a17e1b9d9e6555c0	d__Bacteria; p__Thermodesulfobacteriota; c__Desulfuromonadia; o__Desulfuromonadales	0.583
013bdd16e34f2f739916445865695af6	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella	0.667
01450557263e22a8b9d4ba569ba8999f	d__Bacteria	1.0
014a2d089d032e7a6646e3c84318d8ab	d__Bacteria	1.0
014c9b426857c5ca78e4ae1b3f3e1c03	d__Bacteria; p__Bacillota	0.692
014d3e583fcec72829037b70f10327b3	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria	0.75
01526e3d97f70013798317856ee550b5	d__Bacteria	1.0
0152c7b6c862b5ce0d4420eeb2813b20	d__Bacteria; p__Bacillota	0.55
0155001719931a91310b436eba535d6b	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella	0.667
0156c00c9d35a4d471c03cb17b3a7c4f	d__Bacteria; p__Actinomycetota; c__Actinobacteria; o__Mycobacteriales; f__Corynebacteriaceae; g__Corynebacterium	1.0
0156d496eb549fa98fe4403f45201ee5	d__Bacteria; p__Actinomycetota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae	0.8
0159146054e677465b7078be71d2ce8b	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella	0.667
015b9df49d6d621b0e9f67072865c82b	d__Bacteria; p__Bacillota	0.667
01608e237d2d1dd69c18e748521e2752	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria	0.9
